Instance,nfs_ops,cifs_ops,http_ops,fcp_ops,iscsi_ops,read_ops,write_ops,net_data_rec,net_data_sen,disk_data_re,disk_data_wr,cpu_busy,avg_processo,total_proces,num_processo,time,uptime
system,6,0,0,0,0,0,2,9,1,15,15,0,0,1,2,1372280939,92099085
system,3,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1372280941,92099087
system,8,0,0,0,0,0,5,29,3,306,960,0,0,1,2,1372280943,92099089
system,9,0,0,0,0,0,1,3,2,16,12,0,0,1,2,1372280945,92099091
system,6,0,0,0,0,0,4,6,2,4,0,0,0,1,2,1372280947,92099093
system,1,0,0,0,0,0,1,1,1,16,16,0,0,1,2,1372280949,92099095
system,3,0,0,0,0,0,0,1,1,12,12,0,0,1,2,1372280951,92099097
system,20,0,0,0,0,0,16,107,7,204,716,0,0,1,2,1372280953,92099099
system,5,0,0,0,0,0,1,2,1,12,12,0,0,1,2,1372280955,92099101
system,7,0,0,0,0,0,3,2,2,12,12,0,0,1,2,1372280957,92099103
system,6,0,0,0,0,0,4,17,2,4,4,0,0,1,2,1372280959,92099105
system,0,0,0,0,0,0,0,1,1,12,12,0,0,1,2,1372280961,92099107
system,10,0,0,0,0,0,4,49,3,234,960,0,0,1,2,1372280963,92099109
system,5,0,0,0,0,0,1,2,1,0,0,0,0,1,2,1372280965,92099111
system,17,0,0,0,0,0,15,62,5,12,12,0,0,1,2,1372280967,92099113
system,6,0,0,0,0,0,2,4,2,16,16,0,0,1,2,1372280969,92099115
system,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1372280971,92099117
system,7,0,0,0,0,0,7,36,3,192,888,0,0,1,2,1372280973,92099119
system,5,0,0,0,0,0,1,2,1,12,12,0,0,1,2,1372280975,92099121
system,9,0,0,0,0,0,6,21,3,0,0,0,0,1,2,1372280977,92099123
system,3,0,0,0,0,0,1,1,1,16,16,0,0,1,2,1372280979,92099125
system,6,0,0,0,0,0,0,2,2,12,12,0,0,1,2,1372280981,92099127
system,9,0,0,0,0,0,5,57,3,186,806,0,0,1,2,1372280983,92099129
system,1,0,0,0,0,0,1,1,1,14,12,0,0,1,2,1372280985,92099131
system,10,0,0,0,0,0,4,10,3,12,12,0,0,1,2,1372280987,92099133
system,12,0,0,0,0,0,9,41,3,3,3,0,0,1,2,1372280989,92099135
system,3,0,0,0,0,0,0,1,1,12,12,0,0,1,2,1372280991,92099137
system,9,0,0,0,0,0,5,55,3,158,828,0,0,1,2,1372280993,92099139
system,3,0,0,0,0,0,1,1,1,50,52,0,0,1,2,1372280995,92099141
system,3,0,0,0,0,0,3,2,1,12,12,0,0,1,2,1372280997,92099143
system,7,0,0,0,0,0,3,12,2,16,16,0,0,1,2,1372280999,92099145
system,3,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1372281001,92099147
system,15,0,0,0,0,0,13,66,5,16,16,0,0,1,2,1372281003,92099149
system,7,0,0,0,0,0,1,2,2,198,918,0,0,1,2,1372281005,92099151
system,8,0,0,0,0,0,4,9,2,0,0,0,0,1,2,1372281007,92099153
system,3,0,0,0,0,0,3,10,2,16,16,0,0,1,2,1372281009,92099155
system,3,0,0,0,0,0,0,1,1,12,12,0,0,1,2,1372281011,92099157
system,7,0,0,0,0,0,4,17,2,4,4,0,0,1,2,1372281013,92099159
system,4,0,0,0,0,0,2,37,2,181,705,0,0,1,2,1372281015,92099161
system,10,0,0,0,0,0,4,12,2,11,11,0,0,1,2,1372281017,92099163
system,3,0,0,0,0,0,1,1,1,4,4,0,0,1,2,1372281019,92099165
system,0,0,0,0,0,0,0,1,1,12,12,0,0,1,2,1372281021,92099167
system,16,0,0,0,0,0,13,90,5,16,16,0,0,1,2,1372281023,92099169
system,6,0,0,0,0,0,1,2,2,202,866,0,0,1,2,1372281025,92099171
system,9,0,0,0,0,0,3,2,2,12,12,0,0,1,2,1372281027,92099173
system,8,0,0,0,0,0,4,15,2,16,16,0,0,1,2,1372281029,92099175
system,2,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1372281031,92099177
system,4,0,0,0,0,0,4,16,2,16,16,0,0,1,2,1372281033,92099179
system,5,0,0,0,0,0,1,2,1,204,774,0,0,1,2,1372281035,92099181
system,14,0,0,0,0,0,11,46,4,0,0,0,0,1,2,1372281037,92099183
system,6,0,0,0,0,0,4,23,2,16,16,0,0,1,2,1372281039,92099185
system,4,0,0,0,0,0,0,2,1,12,12,0,0,1,2,1372281041,92099187
system,6,0,0,0,0,0,4,52,2,3,3,0,0,1,2,1372281043,92099189
system,3,0,0,0,0,0,1,2,2,216,866,0,0,1,2,1372281045,92099191
system,12,0,0,0,0,0,6,21,3,12,12,0,0,1,2,1372281047,92099193
system,4,0,0,0,0,0,1,2,1,4,4,0,0,1,2,1372281049,92099195
system,1,0,0,0,0,0,0,1,1,12,12,0,0,1,2,1372281051,92099197
system,12,0,0,0,0,0,6,59,4,16,16,0,0,1,2,1372281053,92099199
system,3,0,0,0,0,0,1,1,1,198,868,0,0,1,2,1372281055,92099201
system,3,0,0,0,0,0,3,2,1,12,12,0,0,1,2,1372281057,92099203
system,13,0,0,0,0,0,10,40,4,16,16,0,0,1,2,1372281059,92099205
system,5,0,0,0,0,0,2,27,2,0,0,0,0,1,2,1372281061,92099207
system,8,0,0,0,0,0,4,15,2,16,16,0,0,1,2,1372281063,92099209
system,5,0,0,0,0,0,1,2,2,284,830,4,2,5,2,1372281065,92099211
system,7,0,0,0,0,0,3,2,1,0,0,0,0,1,2,1372281067,92099213
system,5,0,0,0,0,0,3,14,2,15,15,0,0,1,2,1372281069,92099215
system,3,0,0,0,0,0,0,2,1,12,12,0,0,1,2,1372281071,92099217
system,16,0,0,0,0,0,13,67,5,4,4,0,0,1,2,1372281073,92099219
system,16,0,0,0,0,0,3,42,5,446,2476,1,1,2,2,1372281075,92099221
system,7,0,0,0,0,0,4,9,2,12,12,0,0,1,2,1372281077,92099223
system,3,0,0,0,0,0,1,2,1,4,4,0,0,1,2,1372281079,92099225
system,0,0,0,0,0,0,0,1,0,12,12,0,0,1,2,1372281081,92099227
system,9,0,0,0,0,0,6,59,4,16,16,0,0,1,2,1372281083,92099229
system,4,0,0,0,0,0,1,1,1,322,786,0,0,1,2,1372281085,92099231
system,9,0,0,0,0,0,5,11,2,28,40,2,1,3,2,1372281087,92099233
system,9,0,0,0,0,0,1,3,2,16,16,0,0,1,2,1372281089,92099235
system,2,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1372281091,92099237
system,16,0,0,0,0,0,16,71,5,16,16,0,0,1,2,1372281093,92099239
system,4,0,0,0,0,0,1,1,1,11,11,0,0,1,2,1372281095,92099241
system,6,0,0,0,0,0,3,2,1,244,1358,0,0,1,2,1372281097,92099243
system,9,0,0,0,0,0,5,34,3,16,16,0,0,1,2,1372281099,92099245
system,4,0,0,0,0,0,0,2,1,12,12,0,0,1,2,1372281101,92099247
system,6,0,0,0,0,0,4,50,2,4,4,0,0,1,2,1372281103,92099249
system,1,0,0,0,0,0,1,2,1,12,12,0,0,1,2,1372281105,92099251
system,17,0,0,0,0,0,12,51,5,224,844,0,0,1,2,1372281107,92099253
system,6,0,0,0,0,0,2,4,2,4,4,0,0,1,2,1372281109,92099255
system,1,0,0,0,0,0,0,1,1,12,12,0,0,1,2,1372281111,92099257
system,11,0,0,0,0,0,7,66,4,16,16,0,0,1,2,1372281113,92099259
system,3,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1372281115,92099261
system,5,0,0,0,0,0,5,12,2,190,874,0,0,1,2,1372281117,92099263
system,5,0,0,0,0,0,1,2,1,16,16,0,0,1,2,1372281119,92099265
system,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1372281121,92099267
system,7,0,0,0,0,0,5,20,2,16,16,0,0,1,2,1372281123,92099269
system,7,0,0,0,0,0,1,3,2,12,12,0,0,1,2,1372281125,92099271
system,7,0,0,0,0,0,5,15,2,190,760,0,0,1,2,1372281127,92099273
system,14,0,0,0,0,0,10,41,4,16,16,0,0,1,2,1372281129,92099275
system,3,0,0,0,0,0,0,1,1,12,12,0,0,1,2,1372281131,92099277
system,9,0,0,0,0,0,6,62,3,4,4,0,0,1,2,1372281133,92099279
system,5,0,0,0,0,0,1,2,2,12,12,0,0,1,2,1372281135,92099281
system,7,0,0,0,0,0,3,3,2,212,906,0,0,1,2,1372281137,92099283
