Instance,nfs_ops,cifs_ops,http_ops,fcp_ops,iscsi_ops,read_ops,write_ops,net_data_rec,net_data_sen,disk_data_re,disk_data_wr,cpu_busy,avg_processo,total_proces,num_processo,time,uptime
system,45,0,0,0,0,0,2,11,11,7,7,0,0,1,2,1372802564,92620757
system,1,0,0,0,0,0,0,3,2,16,0,0,0,1,2,1372802565,92620758
system,10,0,0,0,0,0,3,20,2,7,23,0,0,1,2,1372802566,92620759
system,16,0,0,0,0,0,15,34,5,0,0,0,0,1,2,1372802567,92620760
system,8,0,0,0,0,0,6,5,2,16,0,0,0,1,2,1372802568,92620761
system,2,0,0,0,0,1,1,2,4,400,2172,1,1,2,2,1372802569,92620762
system,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1372802570,92620763
system,52,0,0,0,0,0,9,42,15,16,0,0,0,1,2,1372802571,92620764
system,15,0,0,0,0,1,6,6,6,8,24,0,0,1,2,1372802572,92620765
system,51,0,0,0,0,0,7,25,14,0,0,0,0,1,2,1372802573,92620766
system,47,0,0,0,0,0,3,10,12,264,128,0,0,1,2,1372802574,92620767
system,1,0,0,0,0,0,0,1,1,8,24,0,0,1,2,1372802575,92620768
system,52,0,0,0,0,0,7,33,15,0,0,0,0,1,2,1372802576,92620769
system,12,0,0,0,0,0,11,4,3,16,0,0,0,1,2,1372802577,92620770
system,13,0,0,0,0,0,6,4,4,8,24,0,0,1,2,1372802578,92620771
system,1,0,0,0,0,0,0,1,0,400,1888,1,1,2,2,1372802579,92620772
system,2,0,0,0,0,0,0,1,1,16,0,0,0,1,2,1372802580,92620773
system,11,0,0,0,0,1,6,96,8,8,24,0,0,1,2,1372802581,92620774
system,12,0,0,0,0,0,8,79,5,0,0,0,0,1,2,1372802582,92620775
system,2,0,0,0,0,0,2,1,2,16,0,0,0,1,2,1372802583,92620776
system,52,0,0,0,0,2,5,13,17,16,32,0,0,1,2,1372802584,92620777
system,3,0,0,0,0,1,1,2,3,0,0,0,0,1,2,1372802585,92620778
system,7,0,0,0,0,2,4,11,7,16,0,0,0,1,2,1372802586,92620779
system,16,0,0,0,0,0,15,27,5,8,24,0,0,1,2,1372802587,92620780
system,9,0,0,0,0,0,6,3,3,0,0,0,0,1,2,1372802588,92620781
system,3,0,0,0,0,1,1,2,3,432,2156,1,1,2,2,1372802589,92620782
system,7,0,0,0,0,0,0,3,2,8,24,0,0,1,2,1372802590,92620783
system,32,0,0,0,0,3,16,87,12,0,0,0,0,1,2,1372802591,92620784
system,74,0,0,0,0,0,25,96,20,16,0,0,0,1,2,1372802592,92620785
system,51,0,0,0,0,0,8,29,14,8,24,0,0,1,2,1372802593,92620786
system,54,0,0,0,0,2,9,36,19,8,8,0,0,1,2,1372802594,92620787
system,0,0,0,0,0,0,0,2,1,16,0,0,0,1,2,1372802595,92620788
system,15,0,0,0,0,2,1,8,5,8,24,0,0,1,2,1372802596,92620789
system,13,0,0,0,0,0,13,15,4,0,0,0,0,1,2,1372802597,92620790
system,7,0,0,0,0,0,6,3,2,16,0,0,0,1,2,1372802598,92620791
system,1,0,0,0,0,0,0,1,1,1212,2396,1,1,2,2,1372802599,92620792
system,3,0,0,0,0,0,0,3,2,12,8,0,0,1,2,1372802600,92620793
system,8,0,0,0,0,1,6,28,5,16,0,0,0,1,2,1372802601,92620794
system,20,0,0,0,0,0,9,27,5,8,24,0,0,1,2,1372802602,92620795
system,3,0,0,0,0,0,2,2,1,0,0,0,0,1,2,1372802603,92620796
system,45,0,0,0,0,1,4,10,14,24,8,0,0,1,2,1372802604,92620797
system,0,0,0,0,0,0,0,1,1,8,24,0,0,1,2,1372802605,92620798
system,5,0,0,0,0,0,5,22,3,0,0,0,0,1,2,1372802606,92620799
system,57,0,0,0,0,0,14,15,15,16,0,0,0,1,2,1372802607,92620800
system,10,0,0,0,0,0,6,3,3,8,24,0,0,1,2,1372802608,92620801
system,3,0,0,0,0,0,0,2,1,8,8,0,0,1,2,1372802609,92620802
system,1,0,0,0,0,0,0,0,1,404,1932,1,1,2,2,1372802610,92620803
system,8,0,0,0,0,0,7,107,5,8,24,0,0,1,2,1372802611,92620804
system,21,0,0,0,0,2,8,81,9,0,0,0,0,1,2,1372802612,92620805
system,54,0,0,0,0,1,6,13,16,16,0,0,0,1,2,1372802613,92620806
system,7,0,0,0,0,0,0,3,2,16,32,0,0,1,2,1372802614,92620807
system,47,0,0,0,0,0,3,11,13,0,0,0,0,1,2,1372802615,92620808
system,9,0,0,0,0,2,5,21,7,16,0,0,0,1,2,1372802616,92620809
system,15,0,0,0,0,0,11,5,4,8,24,0,0,1,2,1372802617,92620810
system,5,0,0,0,0,0,5,1,1,0,0,0,0,1,2,1372802618,92620811
system,2,0,0,0,0,1,1,3,4,24,8,0,0,1,2,1372802619,92620812
system,6,0,0,0,0,1,1,3,4,432,2072,1,1,2,2,1372802620,92620813
system,7,0,0,0,0,1,4,32,4,0,0,0,0,1,2,1372802621,92620814
system,43,0,0,0,0,0,2,10,11,7,7,0,0,1,2,1372802624,92620818
system,1,0,0,0,0,0,0,2,2,16,0,0,0,1,2,1372802625,92620819
system,31,0,0,0,0,1,18,92,10,8,24,0,0,1,2,1372802626,92620820
system,49,0,0,0,0,5,32,85,19,0,0,0,0,1,2,1372802627,92620821
system,13,0,0,0,0,6,5,30,176,184,8,0,0,1,2,1372802628,92620822
system,0,0,0,0,0,0,0,1,0,8,24,0,0,1,2,1372802629,92620823
system,6,0,0,0,0,0,6,36,3,1173,2546,1,1,2,2,1372802630,92620824
system,0,0,0,0,0,0,0,5,0,15,0,0,0,1,2,1372802631,92620825
system,11,0,0,0,0,0,7,12,4,8,24,0,0,1,2,1372802632,92620826
system,60,0,0,0,0,1,11,68,19,8,8,0,0,1,2,1372802633,92620827
system,1,0,0,0,0,0,0,1,0,16,0,0,0,1,2,1372802634,92620828
system,47,0,0,0,0,0,3,10,13,8,24,0,0,1,2,1372802635,92620829
system,10,0,0,0,0,1,7,33,6,0,0,0,0,1,2,1372802636,92620830
system,15,0,0,0,0,0,15,5,4,16,0,0,0,1,2,1372802637,92620831
system,10,0,0,0,0,0,2,3,2,16,32,0,0,1,2,1372802638,92620832
system,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1372802639,92620833
system,48,0,0,0,0,0,3,11,13,440,1944,1,1,2,2,1372802640,92620834
system,7,0,0,0,0,0,7,106,4,7,23,0,0,1,2,1372802641,92620835
system,12,0,0,0,0,0,7,78,5,0,0,0,0,1,2,1372802642,92620836
system,52,0,0,0,0,0,5,12,14,24,8,0,0,1,2,1372802643,92620837
system,45,0,0,0,0,0,2,9,11,7,23,0,0,1,2,1372802644,92620838
system,3,0,0,0,0,1,1,3,4,0,0,0,0,1,2,1372802645,92620839
system,5,0,0,0,0,0,4,22,2,16,0,0,0,1,2,1372802646,92620840
system,17,0,0,0,0,0,15,6,4,8,24,0,0,1,2,1372802647,92620841
system,6,0,0,0,0,1,3,5,5,8,8,0,0,1,2,1372802648,92620842
system,1,0,0,0,0,0,0,1,1,16,0,0,0,1,2,1372802649,92620843
system,8,0,0,0,0,0,0,2,2,364,2084,1,1,2,2,1372802650,92620844
system,6,0,0,0,0,1,5,29,4,28,48,0,0,1,2,1372802651,92620845
system,9,0,0,0,0,1,6,5,5,16,0,0,0,1,2,1372802652,92620846
system,56,0,0,0,0,1,8,26,17,16,32,0,0,1,2,1372802653,92620847
system,4,0,0,0,0,0,0,2,2,0,0,0,0,1,2,1372802654,92620848
system,48,0,0,0,0,0,3,13,13,16,0,0,0,1,2,1372802655,92620849
system,6,0,0,0,0,0,2,11,2,8,24,0,0,1,2,1372802656,92620850
system,18,0,0,0,0,1,17,11,7,0,0,0,0,1,2,1372802657,92620851
system,3,0,0,0,0,0,2,3,2,24,8,0,0,1,2,1372802658,92620852
system,6,0,0,0,0,2,2,3,6,8,24,0,0,1,2,1372802659,92620853
system,12,0,0,0,0,2,0,5,5,0,0,0,0,1,2,1372802660,92620854
system,83,0,0,0,0,0,18,109,20,400,1796,1,1,2,2,1372802661,92620855
system,39,0,0,0,0,0,31,142,11,8,24,0,0,1,2,1372802662,92620856
system,21,0,0,0,0,3,2,5,8,8,8,0,0,1,2,1372802663,92620857
system,43,0,0,0,0,0,3,10,12,16,0,0,0,1,2,1372802664,92620858
system,2,0,0,0,0,1,1,1,3,8,24,0,0,1,2,1372802665,92620859
system,4,0,0,0,0,0,4,19,2,0,0,0,0,1,2,1372802666,92620860
system,23,0,0,0,0,0,23,107,8,16,0,0,0,1,2,1372802667,92620861
system,8,0,0,0,0,1,3,3,5,16,32,0,0,1,2,1372802668,92620862
system,3,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1372802669,92620863
system,0,0,0,0,0,0,0,0,0,15,0,0,0,1,2,1372802670,92620864
system,8,0,0,0,0,0,6,100,4,1223,2586,1,1,2,2,1372802671,92620865
system,7,0,0,0,0,0,5,3,2,0,0,0,0,1,2,1372802672,92620866
system,6,0,0,0,0,0,5,28,3,24,8,0,0,1,2,1372802673,92620867
system,54,0,0,0,0,0,3,13,14,8,24,0,0,1,2,1372802674,92620868
system,50,0,0,0,0,0,3,12,13,0,0,0,0,1,2,1372802675,92620869
system,7,0,0,0,0,0,5,22,3,16,0,0,0,1,2,1372802676,92620870
system,15,0,0,0,0,0,15,6,4,8,24,0,0,1,2,1372802677,92620871
system,4,0,0,0,0,1,3,3,3,8,8,0,0,1,2,1372802678,92620872
system,4,0,0,0,0,0,0,2,3,16,0,0,0,1,2,1372802679,92620873
system,48,0,0,0,0,1,4,12,14,8,24,0,0,1,2,1372802680,92620874
system,8,0,0,0,0,0,5,45,3,372,1936,1,1,2,2,1372802681,92620875
system,51,0,0,0,0,0,2,12,13,0,0,0,0,1,2,1372802684,92620878
system,47,0,0,0,0,1,4,12,16,16,0,0,0,1,2,1372802685,92620879
system,9,0,0,0,0,0,3,20,2,8,24,0,0,1,2,1372802686,92620880
system,15,0,0,0,0,0,15,6,4,0,0,0,0,1,2,1372802687,92620881
system,5,0,0,0,0,0,4,23,2,24,8,0,0,1,2,1372802688,92620882
system,6,0,0,0,0,1,1,4,5,8,24,0,0,1,2,1372802689,92620883
system,7,0,0,0,0,2,1,3,5,0,0,0,0,1,2,1372802690,92620884
system,25,0,0,0,0,2,23,107,13,528,2136,1,1,2,2,1372802691,92620885
system,28,0,0,0,0,0,24,94,8,8,24,0,0,1,2,1372802692,92620886
system,3,0,0,0,0,0,2,2,2,8,8,0,0,1,2,1372802693,92620887
system,47,0,0,0,0,0,3,10,12,16,0,0,0,1,2,1372802694,92620888
system,53,0,0,0,0,1,4,13,16,8,24,0,0,1,2,1372802695,92620889
system,4,0,0,0,0,0,2,13,2,0,0,0,0,1,2,1372802696,92620890
system,24,0,0,0,0,0,22,99,7,16,0,0,0,1,2,1372802697,92620891
system,10,0,0,0,0,1,3,4,5,16,32,0,0,1,2,1372802698,92620892
system,15,0,0,0,0,3,0,3,6,0,0,0,0,1,2,1372802699,92620893
system,2,0,0,0,0,0,0,2,1,16,0,0,0,1,2,1372802700,92620894
system,3,0,0,0,0,1,2,6,4,152,756,1,1,2,2,1372802701,92620895
system,10,0,0,0,0,0,10,28,3,1072,1548,0,0,1,2,1372802702,92620896
system,2,0,0,0,0,0,2,2,2,24,8,0,0,1,2,1372802703,92620897
system,22,0,0,0,0,2,4,89,8,8,24,0,0,1,2,1372802704,92620898
system,89,0,0,0,0,0,6,20,24,0,0,0,0,1,2,1372802705,92620899
system,3,0,0,0,0,0,2,10,1,16,0,0,0,1,2,1372802706,92620900
system,16,0,0,0,0,0,15,6,5,8,24,0,0,1,2,1372802707,92620901
system,4,0,0,0,0,0,2,3,2,8,8,0,0,1,2,1372802708,92620902
system,3,0,0,0,0,0,0,1,1,16,0,0,0,1,2,1372802709,92620903
system,8,0,0,0,0,1,1,5,5,8,24,0,0,1,2,1372802710,92620904
system,6,0,0,0,0,0,6,32,2,0,0,0,0,1,2,1372802711,92620905
system,7,0,0,0,0,0,5,3,2,436,1980,1,1,2,2,1372802712,92620906
system,6,0,0,0,0,1,5,16,5,16,32,0,0,1,2,1372802713,92620907
system,46,0,0,0,0,0,3,13,12,0,0,0,0,1,2,1372802714,92620908
system,53,0,0,0,0,1,4,13,17,16,0,0,0,1,2,1372802715,92620909
system,54,0,0,0,0,0,7,34,14,8,24,0,0,1,2,1372802716,92620910
system,15,0,0,0,0,0,15,6,4,0,0,0,0,1,2,1372802717,92620911
system,3,0,0,0,0,0,2,2,1,24,8,0,0,1,2,1372802718,92620912
system,2,0,0,0,0,0,0,1,2,8,24,0,0,1,2,1372802719,92620913
system,2,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1372802720,92620914
system,22,0,0,0,0,1,18,97,10,16,0,0,0,1,2,1372802721,92620915
system,12,0,0,0,0,0,5,4,4,447,2129,1,1,2,2,1372802722,92620916
system,5,0,0,0,0,0,4,13,4,7,7,0,0,1,2,1372802723,92620917
system,6,0,0,0,0,0,0,2,2,16,0,0,0,1,2,1372802724,92620918
system,52,0,0,0,0,2,3,12,15,8,24,0,0,1,2,1372802725,92620919
system,8,0,0,0,0,0,4,19,3,0,0,0,0,1,2,1372802726,92620920
system,19,0,0,0,0,1,18,15,7,16,0,0,0,1,2,1372802727,92620921
system,8,0,0,0,0,0,1,2,2,15,31,0,0,1,2,1372802728,92620922
system,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1372802729,92620923
system,3,0,0,0,0,1,1,2,4,16,0,0,0,1,2,1372802730,92620924
system,11,0,0,0,0,0,9,91,5,8,24,0,0,1,2,1372802731,92620925
system,10,0,0,0,0,0,8,95,5,520,2076,1,1,2,2,1372802732,92620926
system,7,0,0,0,0,1,3,3,4,28,8,0,0,1,2,1372802733,92620927
system,57,0,0,0,0,1,3,14,16,8,24,0,0,1,2,1372802734,92620928
system,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1372802735,92620929
system,66,0,0,0,0,4,5,21,21,16,0,0,0,1,2,1372802736,92620930
system,23,0,0,0,0,0,19,24,7,8,24,0,0,1,2,1372802737,92620931
system,2,0,0,0,0,0,2,1,1,8,8,0,0,1,2,1372802738,92620932
system,0,0,0,0,0,0,0,3,1,16,0,0,0,1,2,1372802739,92620933
system,4,0,0,0,0,0,0,3,1,8,24,0,0,1,2,1372802740,92620934
system,9,0,0,0,0,0,9,41,4,0,0,0,0,1,2,1372802741,92620935
system,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1372802744,92620938
system,51,0,0,0,0,1,4,12,16,24,24,0,0,1,2,1372802745,92620939
