Instance,nfs_ops,cifs_ops,http_ops,fcp_ops,iscsi_ops,read_ops,write_ops,net_data_rec,net_data_sen,disk_data_re,disk_data_wr,cpu_busy,avg_processo,total_proces,num_processo,time,uptime
system,45,0,0,0,0,0,2,11,11,7,7,0,0,1,2,1372802564,92620757
system,1,0,0,0,0,0,0,3,2,16,0,0,0,1,2,1372802565,92620758
system,10,0,0,0,0,0,3,20,2,7,23,0,0,1,2,1372802566,92620759
system,16,0,0,0,0,0,15,34,5,0,0,0,0,1,2,1372802567,92620760
system,8,0,0,0,0,0,6,5,2,16,0,0,0,1,2,1372802568,92620761
system,2,0,0,0,0,1,1,2,4,400,2172,1,1,2,2,1372802569,92620762
system,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1372802570,92620763
system,52,0,0,0,0,0,9,42,15,16,0,0,0,1,2,1372802571,92620764
system,15,0,0,0,0,1,6,6,6,8,24,0,0,1,2,1372802572,92620765
system,51,0,0,0,0,0,7,25,14,0,0,0,0,1,2,1372802573,92620766
system,47,0,0,0,0,0,3,10,12,264,128,0,0,1,2,1372802574,92620767
system,1,0,0,0,0,0,0,1,1,8,24,0,0,1,2,1372802575,92620768
system,52,0,0,0,0,0,7,33,15,0,0,0,0,1,2,1372802576,92620769
system,12,0,0,0,0,0,11,4,3,16,0,0,0,1,2,1372802577,92620770
system,13,0,0,0,0,0,6,4,4,8,24,0,0,1,2,1372802578,92620771
system,1,0,0,0,0,0,0,1,0,400,1888,1,1,2,2,1372802579,92620772
system,2,0,0,0,0,0,0,1,1,16,0,0,0,1,2,1372802580,92620773
system,11,0,0,0,0,1,6,96,8,8,24,0,0,1,2,1372802581,92620774
system,12,0,0,0,0,0,8,79,5,0,0,0,0,1,2,1372802582,92620775
system,2,0,0,0,0,0,2,1,2,16,0,0,0,1,2,1372802583,92620776
system,52,0,0,0,0,2,5,13,17,16,32,0,0,1,2,1372802584,92620777
system,3,0,0,0,0,1,1,2,3,0,0,0,0,1,2,1372802585,92620778
system,7,0,0,0,0,2,4,11,7,16,0,0,0,1,2,1372802586,92620779
system,16,0,0,0,0,0,15,27,5,8,24,0,0,1,2,1372802587,92620780
system,9,0,0,0,0,0,6,3,3,0,0,0,0,1,2,1372802588,92620781
system,3,0,0,0,0,1,1,2,3,432,2156,1,1,2,2,1372802589,92620782
system,7,0,0,0,0,0,0,3,2,8,24,0,0,1,2,1372802590,92620783
system,32,0,0,0,0,3,16,87,12,0,0,0,0,1,2,1372802591,92620784
system,74,0,0,0,0,0,25,96,20,16,0,0,0,1,2,1372802592,92620785
system,51,0,0,0,0,0,8,29,14,8,24,0,0,1,2,1372802593,92620786
system,54,0,0,0,0,2,9,36,19,8,8,0,0,1,2,1372802594,92620787
system,0,0,0,0,0,0,0,2,1,16,0,0,0,1,2,1372802595,92620788
system,15,0,0,0,0,2,1,8,5,8,24,0,0,1,2,1372802596,92620789
system,13,0,0,0,0,0,13,15,4,0,0,0,0,1,2,1372802597,92620790
system,7,0,0,0,0,0,6,3,2,16,0,0,0,1,2,1372802598,92620791
system,1,0,0,0,0,0,0,1,1,1212,2396,1,1,2,2,1372802599,92620792
system,3,0,0,0,0,0,0,3,2,12,8,0,0,1,2,1372802600,92620793
system,8,0,0,0,0,1,6,28,5,16,0,0,0,1,2,1372802601,92620794
system,20,0,0,0,0,0,9,27,5,8,24,0,0,1,2,1372802602,92620795
